Journée,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Classement Home,Classement Away,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
8,Angers,Guingamp,0,1,A,13,20,45,26,43,25,43,64,0,-39,30,30
8,Caen,Amiens,1,0,H,18,16,33,35,29,29,49,49,-20,-20,34,36
8,Lyon,Nantes,1,1,D,3,10,66,47,63,47,45,46,18,1,285,60
8,Nice,Paris SG,0,3,A,7,1,53,88,28,100,32,32,-4,68,50,500
8,Reims,Bordeaux,0,0,D,9,14,49,38,35,33,41,41,-6,-8,40,70
8,Strasbourg,Dijon,3,0,H,11,19,46,31,57,29,46,55,11,-26,37,35
8,Lille,Marseille,3,0,H,2,6,72,55,62,54,30,50,32,4,90,150
8,Montpellier,Nimes,3,0,H,5,8,58,52,52,53,40,53,12,0,41,20
8,Rennes,Toulouse,1,1,D,12,15,46,38,50,32,51,50,-1,-18,68,35
9,Toulouse,Nice,1,1,D,15,7,38,53,32,28,50,32,-18,-4,35,50
9,Amiens,Dijon,1,0,H,16,19,35,31,29,29,49,55,-20,-26,36,35
9,Angers,Strasbourg,2,2,D,13,11,45,46,43,57,43,46,0,11,30,37
9,Guingamp,Montpellier,1,1,D,20,5,26,58,25,52,64,40,-39,12,30,41
9,Lille,St Etienne,3,1,H,2,4,72,62,62,55,30,40,32,15,90,74
9,Nimes,Reims,0,0,D,8,9,52,49,53,35,53,41,0,-6,20,40
9,Bordeaux,Nantes,3,0,H,14,10,38,47,33,47,41,46,-8,1,70,60
9,Marseille,Caen,2,0,H,6,18,55,33,54,29,50,49,4,-20,150,34
9,Monaco,Rennes,1,2,A,17,12,33,46,36,50,55,51,-19,-1,215,68
9,Paris SG,Lyon,5,0,H,1,3,88,66,100,63,32,45,68,18,500,285
10,Lyon,Nimes,2,0,H,3,8,66,52,63,53,45,53,18,0,285,20
10,Caen,Guingamp,0,0,D,18,20,33,26,29,25,49,64,-20,-39,34,30
10,Dijon,Lille,1,2,A,19,2,31,72,29,62,55,30,-26,32,35,90
10,Nantes,Toulouse,4,0,H,10,15,47,38,47,32,46,50,1,-18,60,35
10,Paris SG,Amiens,5,0,H,1,16,88,35,100,29,32,49,68,-20,500,36
10,Reims,Angers,1,1,D,9,13,49,45,35,43,41,43,-6,0,40,30
10,Strasbourg,Monaco,2,1,H,11,17,46,33,57,36,46,55,11,-19,37,215
