Journée,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Classement Home,Classement Away,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
32,Nantes,Lyon,2,1,H,10,3,47,66,47,63,46,45,1,18,60,285
32,Caen,Angers,0,1,A,18,13,33,45,29,43,49,43,-20,0,34,30
32,Marseille,Nimes,2,1,H,6,8,55,52,54,53,50,53,4,0,150,20
32,Monaco,Reims,0,0,D,17,9,33,49,36,35,55,41,-19,-6,215,40
32,Strasbourg,Guingamp,3,3,D,11,20,46,26,57,25,46,64,11,-39,37,30
32,Lille,Paris SG,5,1,H,2,1,72,88,62,100,30,32,32,68,90,500
32,Montpellier,Toulouse,2,1,H,5,15,58,38,52,32,40,50,12,-18,41,35
32,Rennes,Nice,0,0,D,12,7,46,53,50,28,51,32,-1,-4,68,50
32,St Etienne,Bordeaux,3,0,H,4,14,62,38,55,33,40,41,15,-8,74,70
28,Nantes,Paris SG,3,2,H,10,1,47,88,47,100,46,32,1,68,60,500
33,Dijon,Rennes,3,2,H,19,12,31,46,29,50,55,51,-26,-1,35,68
33,Lyon,Angers,2,1,H,3,13,66,45,63,43,45,43,18,0,285,30
33,Guingamp,Marseille,1,3,A,20,6,26,55,25,54,64,50,-39,4,30,150
33,Nice,Caen,0,1,A,7,18,53,33,28,29,32,49,-4,-20,50,34
33,Nimes,Bordeaux,2,1,H,8,14,52,38,53,33,53,41,0,-8,20,70
33,Strasbourg,Montpellier,1,3,A,11,5,46,58,57,52,46,40,11,12,37,41
33,Nantes,Amiens,3,2,H,10,16,47,35,47,29,46,49,1,-20,60,36
33,Paris SG,Monaco,3,1,H,1,17,88,33,100,36,32,55,68,-19,500,215
33,Reims,St Etienne,0,2,A,9,4,49,62,35,55,41,40,-6,15,40,74
33,Toulouse,Lille,0,0,D,15,2,38,72,32,62,50,30,-18,32,35,90
34,Bordeaux,Lyon,2,3,A,14,3,38,66,33,63,41,45,-8,18,70,285
34,Amiens,Strasbourg,0,0,D,16,11,35,46,29,57,49,46,-20,11,36,37
34,Angers,Reims,1,1,D,13,9,45,49,43,35,43,41,0,-6,30,40
34,Caen,Dijon,1,0,H,18,19,33,31,29,29,49,55,-20,-26,34,35
34,Lille,Nimes,5,0,H,2,8,72,52,62,53,30,53,32,0,90,20
34,Marseille,Nantes,1,2,A,6,10,55,47,54,47,50,46,4,1,150,60
34,Nice,Guingamp,3,0,H,7,20,53,26,28,25,32,64,-4,-39,50,30
34,St Etienne,Toulouse,2,0,H,4,15,62,38,55,32,40,50,15,-18,74,35
34,Montpellier,Paris SG,3,2,H,5,1,58,88,52,100,40,32,12,68,41,500
34,Rennes,Monaco,2,2,D,12,17,46,33,50,36,51,55,-1,-19,68,215
35,Strasbourg,Marseille,1,1,D,11,6,46,55,57,54,46,50,11,4,37,150
35,Bordeaux,Angers,0,1,A,14,13,38,45,33,43,41,43,-8,0,70,30
35,Guingamp,Caen,0,0,D,20,18,26,33,25,29,64,49,-39,-20,30,34
35,Paris SG,Nice,1,1,D,1,7,88,53,100,28,32,32,68,-4,500,50
35,Reims,Nimes,0,3,A,9,8,49,52,35,53,41,53,-6,0,40,20
35,Lyon,Lille,2,2,D,3,2,66,72,63,62,45,30,18,32,285,90
35,Monaco,St Etienne,2,3,A,17,4,33,62,36,55,55,40,-19,15,215,74
35,Montpellier,Amiens,1,1,D,5,16,58,35,52,29,40,49,12,-20,41,36
35,Nantes,Dijon,3,0,H,10,19,47,31,47,29,46,55,1,-26,60,35
35,Toulouse,Rennes,2,2,D,15,12,38,46,32,50,50,51,-18,-1,35,68
