Day,Classement Home,Classement Away,FTHG,FTAG,FTR,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
10,10,15,4,0,1,47,38,47,32,46,50,1,-18,60,35
10,1,16,5,0,1,88,35,100,29,32,49,68,-20,500,36
10,9,13,1,1,0,5,49,45,35,43,41,43,-6,0,40,30
10,11,17,2,1,1,46,33,57,36,46,55,11,-19,37,215
10,5,14,2,0,1,58,38,52,33,40,41,12,-8,41,70
10,7,6,0,1,0,53,55,28,54,32,50,-4,4,50,150
10,4,12,1,1,0,5,62,46,55,50,40,51,15,-1,74,68
11,8,4,1,1,0,5,52,62,53,55,53,40,0,15,20,74
11,16,10,1,2,0,35,47,29,47,49,46,-20,1,36,60
11,13,3,1,2,0,45,66,43,63,43,45,0,18,30,285
11,20,11,1,1,0,5,26,46,25,57,64,46,-39,11,30,37
11,2,18,1,0,1,72,33,62,29,30,49,32,-20,90,34
11,17,19,2,2,0,5,33,31,36,29,55,55,-19,-26,215,35
11,15,5,0,3,0,38,58,32,52,50,40,-18,12,35,41
11,14,7,0,1,0,38,53,33,28,41,32,-8,-4,70,50
11,6,1,0,2,0,55,88,54,100,50,32,4,68,150,500
11,12,9,0,2,0,46,49,50,35,51,41,-1,-6,68,40
12,1,2,2,1,1,88,72,100,62,32,30,68,32,500,90
12,18,12,1,2,0,33,46,29,50,49,51,-20,-1,34,68
12,19,8,0,4,0,31,52,29,53,55,53,-26,0,35,20
12,3,14,1,1,0,5,66,38,63,33,45,41,18,-8,285,70
12,7,16,1,0,1,53,35,28,29,32,49,-4,-20,50,36
12,9,17,1,0,1,49,33,35,36,41,55,-6,-19,40,215
12,11,15,1,1,0,5,46,38,57,32,46,50,11,-18,37,35
12,5,6,3,0,1,58,55,52,54,40,50,12,4,41,150
12,10,20,5,0,1,47,26,47,25,46,64,1,-39,60,30
12,4,13,4,3,1,62,45,55,43,40,43,15,0,74,30
13,2,11,0,0,0,5,72,46,62,57,30,46,32,11,90,37
13,13,5,1,0,1,45,58,43,52,43,40,0,12,30,41
13,20,3,2,4,0,26,66,25,63,64,45,-39,18,30,285
13,8,7,0,1,0,52,53,53,28,53,32,0,-4,20,50
13,4,9,2,0,1,62,49,55,35,40,41,15,-6,74,40
13,15,16,0,1,0,38,35,32,29,50,49,-18,-20,35,36
13,14,18,0,0,0,5,38,33,33,29,41,49,-8,-20,70,34
13,6,19,2,0,1,55,31,54,29,50,55,4,-26,150,35
13,17,1,0,4,0,33,88,36,100,55,32,-19,68,215,500
13,12,10,1,1,0,5,46,47,50,47,51,46,-1,1,68,60
14,3,4,1,0,1,66,62,63,55,45,40,18,15,285,74
14,18,17,0,1,0,33,33,29,36,49,55,-20,-19,34,215
14,19,14,0,0,0,5,31,38,29,33,55,41,-26,-8,35,70
14,10,13,1,1,0,5,47,45,47,43,46,43,1,0,60,30
14,1,15,1,0,1,88,38,100,32,32,50,68,-18,500,35
14,9,20,2,1,1,49,26,35,25,41,64,-6,-39,40,30
14,11,8,0,1,0,46,52,57,53,46,53,11,0,37,20
14,16,6,1,3,0,35,55,29,54,49,50,-20,4,36,150
14,5,12,2,2,0,5,58,46,52,50,40,51,12,-1,41,68
14,7,2,2,0,1,53,72,28,62,32,30,-4,32,50,90
15,4,10,3,0,1,62,47,55,47,40,46,15,1,74,60
15,13,18,1,1,0,5,45,33,43,29,43,49,0,-20,30,34
15,20,7,0,0,0,5,26,53,25,28,64,32,-39,-4,30,50
15,2,3,2,2,0,5,72,66,62,63,30,45,32,18,90,285
15,17,5,1,2,0,33,58,36,52,55,40,-19,12,215,41
15,8,16,3,0,1,52,35,53,29,53,49,0,-20,20,36
15,14,1,2,2,0,5,38,88,33,100,41,32,-8,68,70,500
15,6,9,0,0,0,5,55,49,54,35,50,41,4,-6,150,40
15,12,11,1,4,0,46,46,50,57,51,46,-1,11,68,37
15,15,19,2,2,0,5,38,31,32,29,50,55,-18,-26,35,35
16,16,17,0,2,0,35,33,29,36,49,55,-20,-19,36,215
16,5,2,0,1,0,58,72,52,62,40,30,12,32,41,90
16,7,13,0,0,0,5,53,45,28,43,32,43,-4,0,50,30
16,14,4,3,2,1,38,62,33,55,41,40,-8,15,70,74
16,18,8,1,2,0,33,52,29,53,49,53,-20,0,34,20
16,19,20,2,1,1,31,26,29,25,55,64,-26,-39,35,30
16,3,12,0,2,0,66,46,63,50,45,51,18,-1,285,68
16,10,6,3,2,1,47,55,47,54,46,50,1,4,60,150
16,9,15,0,1,0,49,38,35,32,41,50,-6,-18,40,35
16,11,1,1,1,0,5,46,88,57,100,46,32,11,68,37,500
